time,sex,classif1,classif2,obs_value,age_extracted
2006,Sex: Male,Age (5-year bands): 15-19,nan,1362.555,"(15, 19)"
2006,Sex: Male,Age (5-year bands): 20-24,nan,1257.758,"(20, 24)"
2006,Sex: Male,Age (5-year bands): 25-29,nan,1134.792,"(25, 29)"
2006,Sex: Female,Age (5-year bands): 15-19,nan,1315.191,"(15, 19)"
2006,Sex: Female,Age (5-year bands): 20-24,nan,1228.781,"(20, 24)"
2006,Sex: Female,Age (5-year bands): 25-29,nan,1122.542,"(25, 29)"
2005,Sex: Male,"Age (Youth, adults): 15+",nan,9040.31,"(15, None)"
2005,Sex: Male,"Age (Youth, adults): 15-24",nan,2605.762,"(15, 24)"
2005,Sex: Male,"Age (Youth, adults): 25+",nan,6434.548,"(25, None)"
2005,Sex: Female,"Age (Youth, adults): 15+",nan,9079.435,"(15, None)"
2005,Sex: Female,"Age (Youth, adults): 15-24",nan,2517.013,"(15, 24)"
2005,Sex: Female,"Age (Youth, adults): 25+",nan,6562.422,"(25, None)"
2005,Sex: Male,Age (Aggregate bands): 15-24,nan,2605.762,"(15, 24)"
2005,Sex: Female,Age (Aggregate bands): 15-24,nan,2517.013,"(15, 24)"
2005,Sex: Male,Age (10-year bands): 15-24,nan,2605.762,"(15, 24)"
2005,Sex: Female,Age (10-year bands): 15-24,nan,2517.013,"(15, 24)"
2005,Sex: Male,Age (5-year bands): 15-19,nan,1361.285,"(15, 19)"
2005,Sex: Male,Age (5-year bands): 20-24,nan,1244.476,"(20, 24)"
2005,Sex: Male,Age (5-year bands): 25-29,nan,1130.226,"(25, 29)"
2005,Sex: Female,Age (5-year bands): 15-19,nan,1310.045,"(15, 19)"
2005,Sex: Female,Age (5-year bands): 20-24,nan,1206.967,"(20, 24)"
2005,Sex: Female,Age (5-year bands): 25-29,nan,1103.839,"(25, 29)"
2004,Sex: Male,"Age (Youth, adults): 15+",nan,8788.667,"(15, None)"
2004,Sex: Female,"Age (Youth, adults): 15+",nan,8821.667,"(15, None)"
2003,Sex: Male,"Age (Youth, adults): 15-24",nan,2529.574,"(15, 24)"
2003,Sex: Female,"Age (Youth, adults): 15-24",nan,2447.246,"(15, 24)"
2002,Sex: Male,"Age (Youth, adults): 15+",nan,8424.788,"(15, None)"
2002,Sex: Male,"Age (Youth, adults): 15-24",nan,2482.617,"(15, 24)"
