time,obs_value,Sex,Age (Youth bands),Education (Aggregate levels)
2011,329.758, Female, 25-29, Basic
2011,427.449, Female, 25-29, Advanced
2011,0.436, Female, 25-29, Level not stated
2010,4091.841, Total, 15-29, Total
2010,62.001, Total, 15-29, Less than basic
2010,2705.394, Total, 15-29, Basic
2010,1321.432, Total, 15-29, Advanced
2010,3.014, Total, 15-29, Level not stated
2010,622.235, Total, 15-19, Total
2010,13.418, Total, 15-19, Less than basic
2010,547.064, Total, 15-19, Basic
2010,60.667, Total, 15-19, Advanced
2010,, Total, 15-19, Level not stated
2010,1598.392, Total, 20-24, Total
2010,20.077, Total, 20-24, Less than basic
2010,1027.443, Total, 20-24, Basic
2010,549.71, Total, 20-24, Advanced
2010,1.163, Total, 20-24, Level not stated
2010,1871.214, Total, 25-29, Total
2010,28.506, Total, 25-29, Less than basic
2010,1130.886, Total, 25-29, Basic
2010,711.056, Total, 25-29, Advanced
2010,0.765, Total, 25-29, Level not stated
2010,2595.881, Male, 15-29, Total
2010,51.266, Male, 15-29, Less than basic
2010,1950.235, Male, 15-29, Basic
2010,591.948, Male, 15-29, Advanced
2010,2.433, Male, 15-29, Level not stated
2010,447.735, Male, 15-19, Total
2010,12.37, Male, 15-19, Less than basic
2010,405.345, Male, 15-19, Basic
2010,28.935, Male, 15-19, Advanced
2010,, Male, 15-19, Level not stated
2010,1024.546, Male, 20-24, Total
2010,15.996, Male, 20-24, Less than basic
2010,752.91, Male, 20-24, Basic
2010,254.762, Male, 20-24, Advanced
2010,0.878, Male, 20-24, Level not stated
2010,1123.599, Male, 25-29, Total
2010,22.9, Male, 25-29, Less than basic
2010,791.98, Male, 25-29, Basic
2010,308.25, Male, 25-29, Advanced
2010,0.469, Male, 25-29, Level not stated
2010,1495.96, Female, 15-29, Total
2010,10.736, Female, 15-29, Less than basic
2010,755.158, Female, 15-29, Basic
2010,729.485, Female, 15-29, Advanced
2010,0.582, Female, 15-29, Level not stated
2010,174.5, Female, 15-19, Total
2010,1.048, Female, 15-19, Less than basic
2010,141.72, Female, 15-19, Basic
2010,31.733, Female, 15-19, Advanced
2010,, Female, 15-19, Level not stated
2010,573.846, Female, 20-24, Total
2010,4.081, Female, 20-24, Less than basic
2010,274.534, Female, 20-24, Basic
2010,294.947, Female, 20-24, Advanced
2010,, Female, 20-24, Level not stated
2010,747.614, Female, 25-29, Total
2010,5.606, Female, 25-29, Less than basic
2010,338.906, Female, 25-29, Basic
2010,402.806, Female, 25-29, Advanced
