time,sex,classif1,classif2,obs_value,age_extracted
1992,Sex: Male,"Age (Youth, adults): 15-24",nan,1328.948,"(15, 24)"
1992,Sex: Male,"Age (Youth, adults): 25+",nan,3815.43,"(25, None)"
1992,Sex: Female,"Age (Youth, adults): 15+",nan,3220.563,"(15, None)"
1992,Sex: Female,"Age (Youth, adults): 15-24",nan,743.539,"(15, 24)"
1992,Sex: Female,"Age (Youth, adults): 25+",nan,2477.024,"(25, None)"
1992,Sex: Male,Age (Aggregate bands): 15-24,nan,1328.948,"(15, 24)"
1992,Sex: Female,Age (Aggregate bands): 15-24,nan,743.539,"(15, 24)"
1991,Sex: Male,"Age (Youth, adults): 15+",nan,5011.134,"(15, None)"
1991,Sex: Male,"Age (Youth, adults): 15-24",nan,1313.789,"(15, 24)"
1991,Sex: Male,"Age (Youth, adults): 25+",nan,3697.345,"(25, None)"
1991,Sex: Female,"Age (Youth, adults): 15+",nan,3102.558,"(15, None)"
1991,Sex: Female,"Age (Youth, adults): 15-24",nan,720.458,"(15, 24)"
1991,Sex: Female,"Age (Youth, adults): 25+",nan,2382.1,"(25, None)"
1991,Sex: Male,Age (Aggregate bands): 15-24,nan,1313.789,"(15, 24)"
1991,Sex: Female,Age (Aggregate bands): 15-24,nan,720.458,"(15, 24)"
